Player,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Sean Collins,R,D,1983-10-30,Troy,MI,USA,USA,73,205,--,--,--,20082009,N,6,1,0,1
Sean Collins,L,C,1988-12-29,Saskatoon,SK,CAN,CAN,73,198,2008,7,187,20122013,N,21,0,3,3
Jeremy Colliton,R,C,1985-01-13,Blackie,AB,CAN,CAN,74,214,2003,2,58,20052006,N,15,2,1,3
Ross Colton,L,C,1996-09-11,Robbinsville,NJ,USA,USA,72,191,2016,4,118,20202021,N,26,8,3,11
Blake Comeau,R,L,1986-02-18,Meadow Lake,SK,CAN,CAN,73,200,2004,2,47,20062007,N,792,125,168,293
Mike Commodore,R,D,1979-11-07,Fort Saskatchewan,AB,CAN,CAN,76,227,1999,2,42,20002001,N,107,4,15,19
J.T. Compher,R,L,1995-04-08,Northbrook,IL,USA,USA,72,190,2013,2,35,20162017,N,264,49,55,104
Mike Comrie,L,C,1980-09-11,Edmonton,AB,CAN,CAN,70,185,1999,3,91,20002001,N,64,14,13,27
Max Comtois,L,L,1999-01-08,Longueuil,QC,CAN,CAN,74,215,2017,2,50,20182019,N,90,21,27,48
Cory Conacher,L,C,1989-12-14,Burlington,ON,CAN,CAN,68,185,--,--,--,20122013,N,193,28,47,75
Tim Conboy,R,D,1982-03-22,Farmington,MN,USA,USA,74,210,2002,7,217,20072008,N,12,0,0,0
Erik Condra,R,R,1986-08-06,Trenton,MI,USA,USA,71,185,2006,7,211,20102011,N,372,40,59,99
Kevin Connauton,L,D,1990-02-23,Edmonton,AB,CAN,CAN,74,205,2009,3,83,20132014,N,320,27,50,77
Chris Conner,L,R,1983-12-23,Westland,MI,USA,USA,67,181,--,--,--,20062007,N,109,15,14,29
Brett Connolly,R,R,1992-05-02,Campbell River,BC,CAN,CAN,75,198,2010,1,6,20112012,N,526,101,93,194
Mike Connolly,L,L,1989-07-03,Calgary,AB,CAN,CAN,69,180,--,--,--,20112012,N,2,0,0,0
Tim Connolly,R,C,1981-05-07,Syracuse,NY,USA,USA,73,190,1999,1,5,19992000,N,211,43,100,143
Kyle Connor,L,L,1996-12-09,Shelby Township,MI,USA,USA,73,182,2015,1,17,20162017,N,300,127,118,245
Craig Conroy,R,C,1971-09-04,Potsdam,NY,USA,USA,74,193,1990,6,123,19941995,N,81,5,12,17
Matt Cooke,L,L,1978-09-07,Belleville,ON,CAN,CAN,71,216,1997,6,144,19981999,N,387,68,89,157
Andrew Copp,L,C,1994-07-08,Ann Arbor,MI,USA,USA,73,206,2013,4,104,20142015,N,407,61,86,147
Patrice Cormier,L,C,1990-06-14,Moncton,NB,CAN,CAN,74,215,2008,2,54,20102011,N,52,1,4,5
Philippe Cornet,L,L,1990-03-28,Val-Senneville,QC,CAN,CAN,72,196,2008,5,133,20112012,N,2,0,1,1
Frank Corrado,R,D,1993-03-26,Toronto,ON,CAN,CAN,72,205,2011,5,150,20122013,N,76,3,5,8
Matthew Corrente,R,D,1988-03-17,Mississauga,ON,CAN,CAN,72,205,2006,1,30,20092010,N,34,0,6,6
Joe Corvo,R,D,1977-06-20,Oak Park,IL,USA,USA,72,204,1997,4,83,20022003,N,274,30,80,110
Jean-Philippe Cote,L,D,1982-04-22,Charlesbourg,QC,CAN,CAN,74,216,2000,9,265,20052006,N,19,0,4,4
Riley Cote,L,L,1982-03-16,Winnipeg,MB,CAN,CAN,74,220,--,--,--,20062007,N,15,0,0,0
Nick Cousins,L,C,1993-07-20,Belleville,ON,CAN,CAN,71,183,2011,3,68,20142015,N,375,46,69,115
Logan Couture,L,C,1989-03-28,Guelph,ON,CAN,CAN,73,200,2007,1,9,20092010,N,766,273,304,577
Sean Couturier,L,C,1992-12-07,Phoenix,AZ,USA,CAN,75,211,2011,1,8,20112012,N,688,171,268,439
Jared Cowen,L,D,1991-01-25,Saskatoon,SK,CAN,CAN,77,238,2009,1,9,20092010,N,249,15,31,46
Charlie Coyle,R,C,1992-03-02,East Weymouth,MA,USA,USA,75,213,2010,1,28,20122013,N,620,115,186,301
Dylan Cozens,R,C,2001-02-09,Whitehorse,YT,CAN,CAN,75,188,2019,1,7,20202021,N,38,4,9,13
Joey Crabb,R,R,1983-04-03,Anchorage,AK,USA,USA,73,190,2002,7,226,20082009,N,150,16,28,44
Adam Cracknell,R,R,1985-07-15,Prince Albert,SK,CAN,CAN,75,209,2004,9,279,20102011,N,210,21,22,43
Ryan Craig,L,C,1982-01-06,Abbotsford,BC,CAN,CAN,74,213,2002,8,255,20052006,N,17,0,0,0
Joseph Cramarossa,L,C,1992-10-26,Toronto,ON,CAN,CAN,72,188,2011,3,65,20162017,N,63,4,7,11
Andrew Crescenzi,L,C,1992-07-29,Thornhill,ON,CAN,CAN,77,207,--,--,--,20172018,N,2,0,0,0
Kyle Criscuolo,R,C,1992-05-05,Southampton,NJ,USA,USA,68,180,--,--,--,20172018,N,9,0,0,0
B.J. Crombeen,R,R,1985-07-10,Denver,CO,USA,USA,74,209,2003,2,54,20072008,N,356,22,34,56
Sidney Crosby,L,C,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,1,1,20052006,N,746,351,572,923
Tommy Cross,L,D,1989-09-12,Hartford,CT,USA,USA,75,201,2007,2,35,20152016,N,3,0,1,1
Lawson Crouse,L,L,1997-06-23,Mt. Brydges,ON,CAN,CAN,76,220,2015,1,11,20162017,N,279,36,39,75
Mark Cullen,L,C,1978-10-28,Moorhead,MN,USA,USA,71,182,--,--,--,20052006,N,6,0,1,1
Matt Cullen,L,C,1976-11-02,Virginia,MN,USA,USA,73,202,1996,2,35,19971998,N,717,113,205,318
Jassen Cullimore,L,D,1972-12-04,Simcoe,ON,CAN,CAN,77,235,1991,2,29,19941995,N,36,0,8,8
Tyler Cuma,L,D,1990-01-19,Toronto,ON,CAN,CAN,73,194,2008,1,23,20112012,N,1,0,0,0
Kyle Cumiskey,L,D,1986-12-02,Abbotsford,BC,CAN,CAN,71,180,2005,7,222,20062007,N,86,8,20,28
Mark Cundari,L,D,1990-04-23,Toronto,ON,CAN,CAN,69,195,--,--,--,20122013,N,8,1,2,3
Craig Cunningham,R,L,1990-09-13,Trail,BC,CAN,CAN,70,184,2010,4,97,20132014,N,63,3,5,8
Josh Currie,R,R,1992-10-29,Charlottetown,PE,CAN,CAN,70,172,--,--,--,20182019,N,22,2,3,5
Austin Czarnik,R,C,1992-12-12,Detroit,MI,USA,USA,69,175,--,--,--,20162017,N,125,13,25,38
Kevin Czuczman,L,D,1991-01-09,Port Elgin,ON,CAN,CAN,74,206,--,--,--,20132014,N,15,0,2,2
Matt D'Agostini,R,R,1986-10-23,Sault Ste. Marie,ON,CAN,CAN,72,198,2005,6,190,20072008,N,270,40,46,86
Jerry D'Amigo,L,R,1991-02-19,Binghamton,NY,USA,USA,71,200,2009,6,157,20132014,N,31,1,2,3
Stephane Da Costa,R,C,1989-07-11,Paris,--,FRA,FRA,71,180,--,--,--,20102011,N,47,7,4,11
Kirby Dach,R,C,2001-01-21,Fort Saskatchewan,AB,CAN,CAN,76,197,2019,1,3,20192020,N,82,10,23,33
Evgenii Dadonov,L,R,1989-03-12,Chelyabinsk,--,RUS,RUS,71,185,2007,3,71,20092010,N,332,104,118,222
Klas Dahlbeck,L,D,1991-07-06,Katrineholm,--,SWE,SWE,75,207,2011,3,79,20142015,N,170,6,17,23
Rasmus Dahlin,L,D,2000-04-13,Lidkoping,--,SWE,SWE,75,207,2018,1,1,20182019,N,194,18,89,107
Carl Dahlstrom,L,D,1995-01-28,Stockholm,--,SWE,SWE,76,221,2013,2,51,20172018,N,64,0,10,10
Michael Dal Colle,L,L,1996-06-20,Woodbridge,ON,CAN,CAN,75,200,2014,1,5,20172018,N,110,8,13,21
Trevor Daley,L,D,1983-10-09,Toronto,ON,CAN,CAN,71,199,2002,2,43,20032004,N,719,69,159,228
Zac Dalpe,R,C,1989-11-01,Paris,ON,CAN,CAN,74,197,2008,2,45,20102011,N,153,14,14,28
Phillip Danault,L,C,1993-02-24,Victoriaville,QC,CAN,CAN,73,200,2011,1,26,20142015,N,390,55,144,199
Marko Dano,L,L,1994-11-30,Eisenstadt,--,AUT,SVK,71,201,2013,1,27,20142015,N,141,19,26,45
Mathieu Darche,L,L,1976-11-26,Montreal,QC,CAN,CAN,73,215,--,--,--,20002001,N,149,22,26,48
Pavel Datsyuk,L,C,1978-07-20,Sverdlovsk,--,RUS,RUS,71,194,1998,6,171,20012002,N,427,143,253,396
Kaspars Daugavins,L,L,1988-05-18,Riga,--,LVA,LVA,72,213,2006,3,91,20092010,N,91,6,9,15
Laurent Dauphin,L,C,1995-03-27,Repentigny,QC,CAN,CAN,73,189,2013,2,39,20152016,N,35,3,1,4
Brandon Davidson,L,D,1991-08-21,Taber,AB,CAN,CAN,74,209,2010,6,162,20142015,N,180,9,14,23
Jonathan Davidsson,R,R,1997-03-12,Tyreso,--,SWE,SWE,71,185,2017,6,170,20192020,N,6,0,1,1
Jeremy Davies,L,D,1996-12-04,Sainte-Anne-de-Bellevue,QC,CAN,CAN,71,180,2016,7,192,20202021,N,15,0,1,1
Patrick Davis,R,R,1986-12-28,Sterling Heights,MI,USA,USA,74,195,2005,4,99,20082009,N,8,1,0,1
Rob Davison,L,D,1980-05-01,St. Catharines,ON,CAN,CAN,74,215,1998,4,98,20022003,N,1,0,0,0
Nigel Dawes,L,L,1985-02-09,Winnipeg,MB,CAN,CAN,69,200,2003,5,149,20062007,N,79,14,19,33
Calvin de Haan,L,D,1991-05-09,Carp,ON,CAN,CAN,73,195,2009,1,12,20112012,N,451,15,96,111
Jacob de la Rose,L,L,1995-05-20,Arvika,--,SWE,SWE,75,215,2013,2,34,20142015,N,242,13,25,38
Chase De Leo,L,C,1995-10-25,La Mirada,CA,USA,USA,69,186,2014,4,99,20152016,N,5,0,0,0
Jean-Sebastien Dea,R,C,1994-02-08,Laval,QC,CAN,CAN,71,168,--,--,--,20162017,N,33,5,2,7
Tony DeAngelo,R,D,1995-10-24,Sewell,NJ,USA,USA,71,180,2014,1,19,20162017,N,206,24,82,106
Alex DeBrincat,R,L,1997-12-18,Farmington Hills,MI,USA,USA,67,165,2016,2,39,20172018,N,282,113,109,222
Jake DeBrusk,L,L,1996-10-17,Edmonton,AB,CAN,CAN,72,194,2015,1,14,20172018,N,239,66,65,131
Brandon DeFazio,L,L,1988-09-13,Etobicoke,ON,CAN,CAN,74,199,--,--,--,20142015,N,2,0,0,0
Danny DeKeyser,L,D,1990-03-07,Detroit,MI,USA,USA,75,190,--,--,--,20122013,N,486,31,102,133
Michael Del Zotto,L,D,1990-06-24,Stouffville,ON,CAN,CAN,72,195,2008,1,20,20092010,N,707,60,189,249
Stefan Della Rovere,L,L,1990-02-25,Richmond Hill,ON,CAN,CAN,71,205,2008,7,204,20102011,N,7,0,0,0
Ty Dellandrea,R,C,2000-07-21,Toronto,ON,CAN,CAN,73,190,2018,1,13,20202021,N,26,3,2,5
Dylan DeMelo,R,D,1993-05-01,London,ON,CAN,CAN,72,191,2011,6,179,20152016,N,316,7,63,70
Jason Demers,R,D,1988-06-09,Dorval,QC,CAN,CAN,73,195,2008,7,186,20092010,N,697,45,169,214
Pavol Demitra,L,R,1974-11-29,Dubnica nad Váhom,--,SVK,SVK,72,200,1993,9,227,19931994,N,28,3,13,16
Grigori Denisenko,R,L,2000-06-24,Novosibirsk,--,RUS,RUS,71,186,2018,1,15,20202021,N,6,0,4,4
Travis Dermott,L,D,1996-12-22,Newmarket,ON,CAN,CAN,72,205,2015,2,34,20172018,N,204,11,36,47
Guillaume Desbiens,R,R,1985-04-20,Alma,QC,CAN,CAN,74,210,2003,4,116,20092010,N,23,0,0,0
Nicolas Deschamps,L,C,1990-01-06,LaSalle,QC,CAN,CAN,72,173,2008,2,35,20132014,N,3,0,0,0
David Desharnais,L,C,1986-09-14,Laurier-Station,QC,CAN,CAN,67,180,--,--,--,20092010,N,524,87,195,282
Andrew Desjardins,L,L,1986-07-27,Lively,ON,CAN,CAN,73,195,--,--,--,20102011,N,408,23,41,64
Nicolas Deslauriers,L,L,1991-02-22,LaSalle,QC,CAN,CAN,75,219,2009,3,84,20132014,N,422,36,36,72
Simon Despres,L,D,1991-07-27,Laval,QC,CAN,CAN,76,218,2009,1,30,20112012,N,193,6,37,43
Jamie Devane,L,L,1991-02-20,Mississauga,ON,CAN,CAN,77,232,2009,3,68,20132014,N,2,0,0,0
Andre Deveaux,R,C,1984-02-23,Freeport,--,BHS,BHS,75,239,2002,6,182,20082009,N,10,0,1,1
Phillip Di Giuseppe,L,L,1993-10-09,Toronto,ON,CAN,CAN,72,193,2012,2,38,20152016,N,198,16,37,53
Thomas Di Pauli,L,C,1994-04-29,Woodbridge,IL,USA,USA,71,188,2012,4,100,20192020,N,2,0,0,0
Raphael Diaz,R,D,1986-01-09,Baar,--,CHE,CHE,71,197,--,--,--,20112012,N,201,8,41,49
Justin DiBenedetto,L,C,1988-08-25,Maple,ON,CAN,CAN,72,198,2008,6,175,20102011,N,8,0,1,1
Jason Dickinson,L,C,1995-07-04,Georgetown,ON,CAN,CAN,74,200,2013,1,29,20152016,N,217,24,38,62
Christopher DiDomenico,R,L,1989-02-20,Toronto,ON,CAN,CAN,71,174,2007,6,164,20162017,N,27,6,4,10
Darren Dietz,R,D,1993-07-17,Medicine Hat,AB,CAN,CAN,73,201,2011,5,138,20152016,N,13,1,4,5
Brenden Dillon,L,D,1990-11-13,New Westminster,BC,CAN,CAN,76,220,--,--,--,20112012,N,650,24,107,131
Jon Disalvatore,R,R,1981-03-30,Bangor,ME,USA,USA,73,200,2000,4,104,20052006,N,1,0,0,0
Christian Djoos,L,D,1994-08-06,Gothenburg,--,SWE,SWE,72,180,2012,7,195,20172018,N,154,7,30,37
Shane Doan,R,R,1976-10-10,Halkirk,AB,CAN,CAN,73,223,1995,1,7,19951996,N,575,144,205,349
Noah Dobson,R,D,2000-01-07,Summerside,PE,CAN,CAN,76,195,2018,1,12,20192020,N,76,4,17,21
Max Domi,L,C,1995-03-02,Winnipeg,MB,CAN,CAN,70,192,2013,1,12,20152016,N,426,89,184,273
Ryan Donato,L,C,1996-04-09,Boston,MA,USA,USA,72,192,2014,2,56,20172018,N,179,35,42,77
Matt Donovan,L,D,1990-05-09,Edmond,OK,USA,USA,73,205,2008,4,96,20112012,N,69,2,18,20
Shean Donovan,R,R,1975-01-22,Timmins,ON,CAN,CAN,75,218,1993,2,28,19941995,N,30,2,3,5
Joonas Donskoi,R,R,1992-04-13,Raahe,--,FIN,FIN,72,190,2010,4,99,20152016,N,392,76,108,184
Jamie Doornbosch,L,D,1990-02-01,Scarborough,ON,CAN,CAN,74,198,--,--,--,20102011,N,1,0,0,0
Derek Dorsett,R,R,1986-12-20,Kindersley,SK,CAN,CAN,72,192,2006,7,189,20082009,N,463,47,75,122
Jake Dotchin,R,D,1994-03-24,Cambridge,ON,CAN,CAN,75,210,2012,6,161,20162017,N,103,3,20,23
Drew Doughty,R,D,1989-12-08,London,ON,CAN,CAN,73,202,2008,1,2,20082009,N,887,119,389,508
Nic Dowd,R,C,1990-05-27,Huntsville,AL,USA,USA,73,192,2009,7,197,20152016,N,303,34,42,76
Jake Dowell,L,C,1985-03-04,Eau Claire,WI,USA,USA,72,200,2004,5,140,20072008,N,137,9,21,30
Justin Dowling,L,C,1990-10-01,Calgary,AB,CAN,CAN,70,180,--,--,--,20162017,N,75,4,10,14
Steve Downie,R,R,1987-04-03,Newmarket,ON,CAN,CAN,71,191,2005,1,29,20072008,N,373,67,111,178
Leon Draisaitl,L,C,1995-10-27,Cologne,--,DEU,DEU,74,208,2014,1,3,20142015,N,471,192,301,493
Kris Draper,L,C,1971-05-24,Toronto,ON,CAN,CAN,70,188,1989,3,62,19901991,N,128,13,20,33
Nick Drazenovic,L,C,1987-01-14,Prince George,BC,CAN,CAN,72,192,2005,6,171,20102011,N,12,0,0,0
Davis Drewiske,L,D,1984-11-22,Hudson,WI,USA,USA,74,222,--,--,--,20082009,N,118,5,17,22
Sheldon Dries,L,C,1994-04-23,Macomb,MI,USA,USA,69,180,--,--,--,20182019,N,48,3,3,6
Jonathan Drouin,L,L,1995-03-28,Ste-Agathe,QC,CAN,CAN,71,201,2013,1,3,20142015,N,393,69,163,232
Chris Drury,R,C,1976-08-20,Trumbull,CT,USA,USA,70,191,1994,3,72,19981999,N,101,15,22,37
Jamie Drysdale,R,D,2002-04-08,Toronto,ON,CAN,CAN,71,175,2020,1,6,20202021,N,21,3,4,7
Dillon Dube,L,C,1998-07-20,Golden,BC,CAN,CAN,71,187,2016,2,56,20182019,N,115,16,23,39
Brandon Dubinsky,L,C,1986-04-29,Anchorage,AK,USA,USA,74,208,2004,2,60,20062007,N,653,126,231,357
Pierre-Luc Dubois,L,L,1998-06-24,STE-AGATHE-DES-MONTS,QC,CAN,CAN,74,205,2016,1,3,20172018,N,275,74,105,179
Matt Duchene,L,C,1991-01-16,Haliburton,ON,CAN,CAN,71,195,2009,1,3,20092010,N,824,249,351,600
Anthony Duclair,L,L,1995-08-26,Pointe-Claire,QC,CAN,CAN,71,197,2013,3,80,20142015,N,394,89,104,193
Mike Duco,L,R,1987-07-08,Toronto,ON,CAN,CAN,70,200,--,--,--,20092010,N,18,0,2,2
Matt Dumba,R,D,1994-07-25,Regina,SK,CAN,CAN,72,185,2012,1,7,20132014,N,456,68,125,193
Gabriel Dumont,R,C,1990-10-06,Degelis,QC,CAN,CAN,70,195,2009,5,138,20112012,N,90,4,5,9
J-P Dumont,L,R,1978-04-01,Montreal,QC,CAN,CAN,73,205,1996,1,3,19981999,N,144,27,37,64
Brian Dumoulin,L,D,1991-09-06,Biddeford,ME,USA,USA,76,207,2009,2,51,20132014,N,385,14,81,95
Vince Dunn,L,D,1996-10-29,Mississauga,ON,CAN,CAN,72,203,2015,2,56,20172018,N,267,32,70,102
Josh Dunne,L,C,1998-12-08,O'Fallon,MO,USA,USA,76,210,--,--,--,20202021,N,6,0,0,0
Brodie Dupont,L,L,1987-02-17,Russell,MB,CAN,CAN,74,210,2005,3,66,20102011,N,1,0,0,0
Pascal Dupuis,L,R,1979-04-07,Laval,QC,CAN,CAN,73,205,--,--,--,20002001,N,365,95,112,207
Philippe Dupuis,R,C,1985-04-24,Laval,QC,CAN,CAN,72,196,2003,4,104,20082009,N,108,6,12,18
Chris Durno,L,L,1980-10-31,Scarborough,ON,CAN,CAN,76,223,--,--,--,20082009,N,41,4,4,8
Christian Dvorak,L,C,1996-02-02,Palos,IL,USA,USA,72,195,2014,2,58,20162017,N,298,64,78,142
Radek Dvorak,R,R,1977-03-09,Tabor,--,CZE,CZE,74,195,1995,1,10,19951996,N,284,33,55,88
Patrick Dwyer,R,R,1983-06-22,Spokane,WA,USA,USA,71,175,2002,4,116,20082009,N,403,41,51,92
Ryan Dzingel,L,L,1992-03-09,Wheaton,IL,USA,USA,72,190,2011,7,204,20152016,N,369,82,98,180
Dave Dziurzynski,L,L,1989-10-06,Lloydminster,AB,CAN,CAN,75,224,--,--,--,20122013,N,26,3,3,6
Ben Eager,L,L,1984-01-22,Ottawa,ON,CAN,CAN,74,226,2002,1,23,20052006,N,212,23,26,49
Cody Eakin,L,C,1991-05-24,Winnipeg,MB,CAN,CAN,72,196,2009,3,85,20112012,N,631,105,138,243
Robbie Earl,L,L,1985-06-02,Chicago,IL,USA,USA,73,195,2004,6,187,20072008,N,38,6,0,6
Mark Eaton,L,D,1977-05-06,Wilmington,DE,USA,USA,73,215,--,--,--,19992000,N,198,4,19,23
Patrick Eaves,R,R,1984-05-01,Calgary,AB,CAN,USA,71,203,2003,1,29,20052006,N,391,87,65,152
Andrew Ebbett,L,C,1983-01-02,Vernon,BC,CAN,CAN,69,174,--,--,--,20072008,N,173,18,21,39
Jordan Eberle,R,R,1990-05-15,Regina,SK,CAN,CAN,71,187,2008,1,22,20102011,N,776,240,310,550
Tyler Eckford,L,D,1985-09-08,Vancouver,BC,CAN,CAN,73,225,2004,7,217,20092010,N,7,0,1,1
Alexander Edler,L,D,1986-04-21,Ostersund,--,SWE,SWE,75,212,2004,3,91,20062007,N,738,80,267,347
Joel Edmundson,L,D,1993-06-28,Brandon,MB,CAN,CAN,76,227,2011,2,46,20152016,N,388,22,62,84
Nikolaj Ehlers,L,L,1996-02-14,Aalborg,--,DNK,DNK,72,172,2014,1,9,20152016,N,416,136,167,303
Christoffer Ehn,L,C,1996-04-05,Skara,--,SWE,SWE,75,195,2014,4,106,20182019,N,114,5,8,13
Christian Ehrhoff,L,D,1982-07-06,Moers,--,DEU,DEU,74,201,2001,4,106,20032004,N,448,49,158,207
Jack Eichel,R,C,1996-10-28,North Chelmsford,MA,USA,USA,74,213,2015,1,2,20152016,N,375,139,216,355
Victor Ejdsell,L,C,1995-06-06,Karlstad,--,SWE,SWE,77,214,--,--,--,20172018,N,6,0,1,1
Aaron Ekblad,R,D,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,1,1,20142015,N,493,82,152,234
Mattias Ekholm,L,D,1990-05-24,Borlange,--,SWE,SWE,76,215,2009,4,102,20112012,N,584,51,167,218
Oliver Ekman-Larsson,L,D,1991-07-17,Karlskrona,--,SWE,SWE,74,200,2009,1,6,20102011,N,765,127,258,385
Patrik Elias,L,C,1976-04-13,Trebic,--,CZE,CZE,73,190,1994,2,51,19951996,N,418,113,206,319
Remi Elie,L,L,1995-04-16,Cornwall,ON,CAN,CAN,73,215,2013,2,40,20162017,N,106,7,15,22
Corey Elkins,L,C,1985-02-23,West Bloomfield,MI,USA,USA,74,214,--,--,--,20092010,N,3,1,0,1
Lars Eller,L,C,1989-05-08,Rodovre,--,DNK,DNK,74,208,2007,1,13,20092010,N,794,139,176,315
Keaton Ellerby,L,D,1988-11-05,Strathmore,AB,CAN,CAN,77,220,2007,1,10,20092010,N,212,4,23,27
Stefan Elliott,R,D,1991-01-30,Vancouver,BC,CAN,CAN,73,190,2009,2,49,20112012,N,87,8,17,25
Matt Ellis,L,L,1981-08-31,Welland,ON,CAN,CAN,72,208,--,--,--,20062007,N,241,11,18,29
Morgan Ellis,R,D,1992-04-30,Summerside,PE,CAN,CAN,73,211,2010,4,117,20152016,N,3,0,0,0
Ryan Ellis,R,D,1991-01-03,Hamilton,ON,CAN,CAN,70,180,2009,1,11,20112012,N,560,75,194,269
Turner Elson,L,C,1992-09-13,New Westminster,BC,CAN,CAN,72,181,--,--,--,20152016,N,1,0,1,1
Alexei Emelin,L,D,1986-04-25,Togliatti,--,RUS,RUS,74,218,2004,3,84,20112012,N,456,15,66,81
Steve Eminger,R,D,1983-10-31,Woodbridge,ON,CAN,CAN,74,207,2002,1,12,20022003,N,205,8,22,30
Cory Emmerton,L,C,1988-06-01,St. Thomas,ON,CAN,CAN,72,191,2006,2,41,20102011,N,139,12,9,21
Deryk Engelland,R,D,1982-04-03,Edmonton,AB,CAN,CAN,74,212,2000,6,194,20092010,N,671,30,97,127
Andreas Englund,L,D,1996-01-21,Stockholm,--,SWE,SWE,75,189,2014,2,40,20162017,N,33,0,3,3
Andreas Engqvist,R,C,1987-12-23,Stockholm,--,SWE,SWE,76,199,--,--,--,20102011,N,15,0,0,0
Pierre Engvall,L,L,1996-05-31,Ljungby,--,SWE,SWE,77,214,2014,7,188,20192020,N,86,12,12,24
Tyler Ennis,L,C,1989-10-06,Edmonton,AB,CAN,CAN,69,161,2008,1,26,20092010,N,641,136,186,322
Toby Enstrom,L,D,1984-11-05,Nordingra,--,SWE,SWE,70,180,2003,8,239,20072008,N,555,44,194,238
MacKenzie Entwistle,R,R,1999-07-14,Georgetown,ON,CAN,CAN,75,184,2017,3,69,20202021,N,1,0,0,0
Martin Erat,L,R,1981-08-29,Trebic,--,CZE,CZE,72,196,1999,7,191,20012002,N,403,74,168,242
Jonathan Ericsson,L,D,1984-03-02,Karlskrona,--,SWE,SWE,76,218,2002,9,291,20072008,N,653,25,95,120
Anders Eriksson,L,D,1975-01-09,Bollnas,--,SWE,SWE,75,224,1993,1,22,19951996,N,20,0,5,5
Loui Eriksson,L,L,1985-07-17,Gothenburg,--,SWE,SWE,74,179,2003,2,33,20062007,N,767,194,287,481
Joel Eriksson Ek,L,C,1997-01-29,Karlstad,--,SWE,SWE,75,208,2015,1,20,20162017,N,260,41,52,93
Tim Erixon,L,D,1991-02-24,Port Chester,NY,USA,SWE,74,200,2009,1,23,20112012,N,93,2,12,14
Adam Erne,L,L,1995-04-20,New Haven,CT,USA,USA,73,212,2013,2,33,20162017,N,215,26,26,52
John Erskine,L,D,1980-06-26,Kingston,ON,CAN,CAN,76,220,1998,2,39,20012002,N,218,9,20,29
Emerson Etem,L,R,1992-06-16,Long Beach,CA,USA,USA,73,212,2010,1,29,20122013,N,173,22,24,46
Jake Evans,R,C,1996-06-02,Toronto,ON,CAN,CAN,72,183,2014,7,207,20192020,N,55,4,9,13
Dennis Everberg,L,R,1991-12-31,Vasteras,--,SWE,SWE,76,205,--,--,--,20142015,N,70,3,9,12
Garnet Exelby,L,D,1981-08-16,Craik,SK,CAN,CAN,73,215,1999,8,217,20022003,N,51,1,3,4
Robby Fabbri,L,C,1996-01-22,Mississauga,ON,CAN,CAN,70,190,2014,1,21,20152016,N,246,56,66,122
Dante Fabbro,R,D,1998-06-20,Coquitlam,BC,CAN,CAN,72,189,2016,1,17,20182019,N,106,8,15,23
Brian Fahey,R,D,1981-03-02,Glenview,IL,USA,USA,73,216,2000,4,119,20102011,N,7,0,1,1
Cade Fairchild,L,D,1989-01-15,Duluth,MN,USA,USA,71,190,2007,4,96,20112012,N,5,0,1,1
Radek Faksa,L,C,1994-01-09,Vitkov,--,CZE,CZE,75,220,2012,1,13,20152016,N,402,66,75,141
Justin Falk,L,D,1988-10-11,Snowflake,MB,CAN,CAN,77,223,2007,4,110,20092010,N,279,3,30,33
Oscar Fantenberg,L,D,1991-10-07,Ljunby,--,SWE,SWE,72,206,--,--,--,20172018,N,124,5,14,19
Joel Farabee,L,L,2000-02-25,Syracuse,NY,USA,USA,72,164,2018,1,14,20192020,N,103,25,31,56
Bobby Farnham,L,R,1989-01-21,North Andover,MA,USA,USA,70,190,--,--,--,20142015,N,67,8,2,10
David Farrance,L,D,1999-06-23,Rochester,NY,USA,USA,71,189,2017,3,92,20202021,N,1,0,0,0
Hudson Fasching,R,R,1995-07-28,Milwaukee,WI,USA,USA,75,204,2013,4,118,20152016,N,26,1,2,3
Jesper Fast,R,R,1991-12-02,Nassjo,--,SWE,SWE,73,191,2010,6,157,20132014,N,464,61,105,166
Justin Faulk,R,D,1992-03-20,South St. Paul,MN,USA,USA,72,217,2010,2,37,20112012,N,677,96,195,291
Mark Fayne,R,D,1987-05-15,Nashua,NH,USA,USA,75,209,2005,5,155,20102011,N,389,17,48,65
Todd Fedoruk,L,L,1979-02-13,Redwater,AB,CAN,CAN,74,232,1997,7,164,20002001,N,50,3,3,6
Ruslan Fedotenko,L,L,1979-01-18,Kiev,--,UKR,UKR,73,200,--,--,--,20002001,N,266,34,54,88
Taylor Fedun,R,D,1988-06-04,Edmonton,AB,CAN,CAN,73,200,--,--,--,20132014,N,127,8,27,35
Martin Fehervary,L,D,1999-10-06,Bratislava,--,SVK,SVK,74,202,2018,2,46,20192020,N,6,0,1,1
Eric Fehr,R,C,1985-09-07,Winkler,MB,CAN,CAN,76,209,2003,1,18,20052006,N,543,98,89,187
Andrew Ference,L,D,1979-03-17,Edmonton,AB,CAN,CAN,71,182,1997,8,208,19992000,N,388,19,73,92
Micheal Ferland,L,L,1992-04-20,Swan River,MB,CAN,CAN,73,217,2010,5,133,20142015,N,335,60,74,134
